Country,Activity,Sharks_attacks
ADMIRALTY ISLANDS,UnKnown,1
AMERICAN SAMOA,Accidents or natural disasters,1
AMERICAN SAMOA,Random activities,1
AMERICAN SAMOA,Swimming,1
ANDAMAN / NICOBAR ISLANDAS,Bathing,1
ANGOLA,Surfing,1
ANTIGUA,Swimming,1
ARGENTINA,Bathing,1
ARUBA,Accidents or natural disasters,1
ATLANTIC OCEAN,Other Water Sports,5
ATLANTIC OCEAN,Accidents or natural disasters,1
ATLANTIC OCEAN,Random activities,1
AUSTRALIA,Surfing,207
AUSTRALIA,Fishing&Hunting,175
AUSTRALIA,Other Water Sports,138
AUSTRALIA,Swimming,79
AUSTRALIA,UnKnown,65
AUSTRALIA,Bathing,29
AUSTRALIA,Accidents or natural disasters,21
AUSTRALIA,Shark related activities,9
AUSTRALIA,Random activities,6
AUSTRALIA,Stranger things,1
AUSTRALIA,Walking,1
AZORES,Fishing&Hunting,3
BAHAMAS,Fishing&Hunting,41
BAHAMAS,Other Water Sports,25
BAHAMAS,UnKnown,4
BAHAMAS,Bathing,3
BAHAMAS,Swimming,3
BAHAMAS,Accidents or natural disasters,2
BAHAMAS,Surfing,2
BAHAMAS,Random activities,1
BAHAMAS,Shark related activities,1
BAHAMAS,Stranger things,1
BANGLADESH,Accidents or natural disasters,1
BELIZE,Fishing&Hunting,1
BELIZE,Other Water Sports,1
BERMUDA,Bathing,2
BERMUDA,Fishing&Hunting,2
BERMUDA,UnKnown,2
BERMUDA,Accidents or natural disasters,1
BERMUDA,Other Water Sports,1
BERMUDA,Random activities,1
BERMUDA,Surfing,1
BERMUDA,Swimming,1
BRAZIL,Surfing,37
BRAZIL,Swimming,29
BRAZIL,UnKnown,9
BRAZIL,Other Water Sports,7
BRAZIL,Fishing&Hunting,6
BRAZIL,Bathing,3
BRAZIL,Accidents or natural disasters,2
BRAZIL,Random activities,1
BRAZIL,Stranger things,1
BRITISH ISLES,Other Water Sports,1
BRITISH VIRGIN ISLANDS,Other Water Sports,1
BRITISH WEST INDIES,Fishing&Hunting,1
CANADA,Fishing&Hunting,1
CANADA,Other Water Sports,1
CANADA,Surfing,1
CAPE VERDE,UnKnown,1
CARIBBEAN SEA,Accidents or natural disasters,3
CARIBBEAN SEA,Random activities,1
CARIBBEAN SEA,UnKnown,1
CAYMAN ISLANDS,Other Water Sports,1
CAYMAN ISLANDS,Random activities,1
CHILE,Other Water Sports,4
CHILE,Swimming,2
CHILE,Fishing&Hunting,1
CHINA,Other Water Sports,1
CHINA,Swimming,1
COLUMBIA,Fishing&Hunting,3
COLUMBIA,Other Water Sports,2
COLUMBIA,Accidents or natural disasters,1
COLUMBIA,Bathing,1
COLUMBIA,Swimming,1
COLUMBIA,UnKnown,1
COSTA RICA,Surfing,3
COSTA RICA,Swimming,3
COSTA RICA,Accidents or natural disasters,1
CROATIA,Swimming,6
CROATIA,Fishing&Hunting,3
CROATIA,UnKnown,3
CROATIA,Boating,1
CUBA,Fishing&Hunting,7
CUBA,Other Water Sports,2
CUBA,Swimming,2
CUBA,Accidents or natural disasters,1
CUBA,UnKnown,1
DIEGO GARCIA,Swimming,1
DOMINICAN REPUBLIC,Accidents or natural disasters,2
DOMINICAN REPUBLIC,Bathing,1
DOMINICAN REPUBLIC,Fishing&Hunting,1
DOMINICAN REPUBLIC,Other Water Sports,1
DOMINICAN REPUBLIC,Surfing,1
DOMINICAN REPUBLIC,Swimming,1
ECUADOR,Surfing,4
ECUADOR,Accidents or natural disasters,2
ECUADOR,Other Water Sports,1
ECUADOR,UnKnown,1
EGYPT,Other Water Sports,14
EGYPT,Swimming,4
EGYPT,Fishing&Hunting,3
EGYPT,Accidents or natural disasters,2
EGYPT,UnKnown,2
EGYPT,Bathing,1
EGYPT / ISRAEL,Other Water Sports,1
EL SALVADOR,Surfing,2
EL SALVADOR,Fishing&Hunting,1
ENGLAND,Fishing&Hunting,3
ENGLAND,Shark related activities,3
ENGLAND,UnKnown,2
FEDERATED STATES OF MICRONESIA,Fishing&Hunting,1
FIJI,Fishing&Hunting,18
FIJI,Other Water Sports,10
FIJI,UnKnown,5
FIJI,Swimming,3
FIJI,Bathing,2
FIJI,Surfing,2
FIJI,Accidents or natural disasters,1
FIJI,Boating,1
FRANCE,Fishing&Hunting,1
FRANCE,Other Water Sports,1
FRANCE,Swimming,1
FRANCE,UnKnown,1
FRENCH POLYNESIA,Fishing&Hunting,10
FRENCH POLYNESIA,Other Water Sports,2
FRENCH POLYNESIA,Surfing,2
FRENCH POLYNESIA,Swimming,2
FRENCH POLYNESIA,Bathing,1
FRENCH POLYNESIA,Shark related activities,1
GABON,Swimming,1
GRAND CAYMAN,Other Water Sports,1
GREECE,Swimming,5
GREECE,UnKnown,2
GREECE,Fishing&Hunting,1
GREECE,Other Water Sports,1
GREECE,Surfing,1
GRENADA,Bathing,2
GRENADA,Fishing&Hunting,1
GRENADA,Swimming,1
GUAM,Fishing&Hunting,2
GUAM,Other Water Sports,1
GUAM,UnKnown,1
GUATEMALA,Accidents or natural disasters,1
GULF OF ADEN,UnKnown,1
HONDURAS,Other Water Sports,1
HONG KONG,Swimming,15
HONG KONG,UnKnown,3
HONG KONG,Other Water Sports,2
HONG KONG,Accidents or natural disasters,1
HONG KONG,Bathing,1
HONG KONG,Fishing&Hunting,1
INDIA,Fishing&Hunting,2
INDIA,UnKnown,2
INDIA,Surfing,1
INDIAN OCEAN,Accidents or natural disasters,1
INDONESIA,Surfing,5
INDONESIA,Accidents or natural disasters,2
INDONESIA,UnKnown,2
IRAN,UnKnown,8
IRAN,Fishing&Hunting,1
IRAN,Swimming,1
IRAQ,Random activities,2
IRAQ,Fishing&Hunting,1
IRAQ,Swimming,1
ISRAEL,Fishing&Hunting,1
ISRAEL,Other Water Sports,1
ISRAEL,Swimming,1
ITALY,Fishing&Hunting,15
ITALY,Other Water Sports,13
ITALY,Boating,4
ITALY,UnKnown,3
ITALY,Accidents or natural disasters,2
ITALY,Surfing,2
ITALY,Shark related activities,1
ITALY,Swimming,1
JAMAICA,Fishing&Hunting,3
JAMAICA,UnKnown,3
JAMAICA,Other Water Sports,2
JAMAICA,Accidents or natural disasters,1
JAPAN,UnKnown,13
JAPAN,Fishing&Hunting,5
JAPAN,Other Water Sports,4
JAPAN,Surfing,2
JAPAN,Swimming,2
JAPAN,Accidents or natural disasters,1
JOHNSTON ISLAND,Other Water Sports,2
KENYA,Swimming,3
KENYA,Fishing&Hunting,2
KENYA,Accidents or natural disasters,1
KIRIBATI,Fishing&Hunting,1
LIBERIA,Other Water Sports,1
LIBERIA,Swimming,1
MADAGASCAR,Bathing,1
MADAGASCAR,Fishing&Hunting,1
MADAGASCAR,Other Water Sports,1
MADAGASCAR,Shark related activities,1
MADAGASCAR,UnKnown,1
MALAYSIA,Bathing,1
MALAYSIA,Fishing&Hunting,1
MALAYSIA,Other Water Sports,1
MALAYSIA,UnKnown,1
MALDIVE ISLANDS,Accidents or natural disasters,1
MALTA,Fishing&Hunting,1
MALTA,Surfing,1
MALTA,Swimming,1
MARSHALL ISLANDS,Other Water Sports,5
MARSHALL ISLANDS,Fishing&Hunting,2
MARSHALL ISLANDS,Swimming,2
MARSHALL ISLANDS,UnKnown,1
MARTINIQUE,UnKnown,1
MAURITIUS,Fishing&Hunting,4
MAURITIUS,Swimming,1
MAURITIUS,UnKnown,1
MAYOTTE,Fishing&Hunting,1
MEXICO,Swimming,18
MEXICO,Other Water Sports,11
MEXICO,Surfing,10
MEXICO,Bathing,7
MEXICO,Fishing&Hunting,4
MEXICO,UnKnown,4
MEXICO,Accidents or natural disasters,2
MEXICO,Boating,1
MEXICO,Shark related activities,1
MEXICO,Stranger things,1
MICRONESIA,Other Water Sports,2
MICRONESIA,Fishing&Hunting,1
MID ATLANTIC OCEAN,Accidents or natural disasters,4
MONTENEGRO,Bathing,1
MONTENEGRO,Swimming,1
MOZAMBIQUE,Swimming,19
MOZAMBIQUE,Fishing&Hunting,9
MOZAMBIQUE,Accidents or natural disasters,3
MOZAMBIQUE,Bathing,2
MOZAMBIQUE,UnKnown,2
MOZAMBIQUE,Other Water Sports,1
MOZAMBIQUE,Random activities,1
MOZAMBIQUE,Surfing,1
NAMIBIA,Shark related activities,1
NETHERLANDS ANTILLES,Accidents or natural disasters,1
NEVIS,Swimming,1
NEW BRITAIN,Fishing&Hunting,4
NEW BRITAIN,Other Water Sports,1
NEW BRITAIN,Swimming,1
NEW CALEDONIA,Fishing&Hunting,18
NEW CALEDONIA,Surfing,7
NEW CALEDONIA,Other Water Sports,6
NEW CALEDONIA,UnKnown,6
NEW CALEDONIA,Swimming,3
NEW CALEDONIA,Accidents or natural disasters,2
NEW CALEDONIA,Stranger things,1
NEW CALEDONIA,Walking,1
NEW GUINEA,UnKnown,3
NEW GUINEA,Other Water Sports,1
NEW ZEALAND,Fishing&Hunting,25
NEW ZEALAND,Other Water Sports,17
NEW ZEALAND,Surfing,14
NEW ZEALAND,Swimming,7
NEW ZEALAND,Accidents or natural disasters,5
NEW ZEALAND,Bathing,3
NEW ZEALAND,Shark related activities,2
NEW ZEALAND,UnKnown,2
NEW ZEALAND,Boating,1
NEW ZEALAND,Random activities,1
NEW ZEALAND,Stranger things,1
NICARAGUA,Bathing,1
NIGERIA,Bathing,1
NORTH ATLANTIC OCEAN,Accidents or natural disasters,1
NORTH ATLANTIC OCEAN,Bathing,1
NORTH ATLANTIC OCEAN,Fishing&Hunting,1
NORTH ATLANTIC OCEAN,UnKnown,1
NORTH PACIFIC OCEAN,Accidents or natural disasters,2
NORTH PACIFIC OCEAN,Fishing&Hunting,1
NORTH PACIFIC OCEAN,Other Water Sports,1
NORTH SEA,Fishing&Hunting,1
NORTHERN ARABIAN SEA,Accidents or natural disasters,1
NORWAY,Other Water Sports,1
OKINAWA,Swimming,2
OKINAWA,Fishing&Hunting,1
OKINAWA,Surfing,1
PACIFIC OCEAN,Accidents or natural disasters,6
PACIFIC OCEAN,Bathing,1
PACIFIC OCEAN,Fishing&Hunting,1
PALAU,Fishing&Hunting,2
PALAU,Other Water Sports,2
PALAU,Walking,1
PALESTINIAN TERRITORIES,Fishing&Hunting,1
PANAMA,Other Water Sports,5
PANAMA,Bathing,4
PANAMA,Accidents or natural disasters,1
PANAMA,Fishing&Hunting,1
PANAMA,Random activities,1
PANAMA,Surfing,1
PAPUA NEW GUINEA,Fishing&Hunting,53
PAPUA NEW GUINEA,UnKnown,17
PAPUA NEW GUINEA,Other Water Sports,13
PAPUA NEW GUINEA,Swimming,12
PAPUA NEW GUINEA,Bathing,7
PAPUA NEW GUINEA,Accidents or natural disasters,2
PAPUA NEW GUINEA,Boating,2
PAPUA NEW GUINEA,Random activities,2
PAPUA NEW GUINEA,Stranger things,1
PAPUA NEW GUINEA,Surfing,1
PERSIAN GULF,Accidents or natural disasters,1
PERSIAN GULF,Other Water Sports,1
PHILIPPINES,Accidents or natural disasters,20
PHILIPPINES,Swimming,4
PHILIPPINES,Fishing&Hunting,2
PHILIPPINES,Random activities,2
PHILIPPINES,UnKnown,2
PHILIPPINES,Surfing,1
PORTUGAL,Fishing&Hunting,2
PUERTO RICO,Fishing&Hunting,1
RED SEA,Bathing,1
RED SEA / INDIAN OCEAN,Accidents or natural disasters,1
REUNION,Surfing,21
REUNION,Other Water Sports,15
REUNION,Fishing&Hunting,7
REUNION,Accidents or natural disasters,3
REUNION,UnKnown,3
REUNION,Swimming,2
REUNION,Bathing,1
REUNION,Random activities,1
RUSSIA,Swimming,2
RUSSIA,Bathing,1
RUSSIA,Other Water Sports,1
SAMOA,Fishing&Hunting,1
SAMOA,Shark related activities,1
SAUDI ARABIA,Surfing,1
SCOTLAND,Fishing&Hunting,2
SCOTLAND,Other Water Sports,1
SCOTLAND,Surfing,1
SENEGAL,Fishing&Hunting,4
SENEGAL,Other Water Sports,3
SENEGAL,Accidents or natural disasters,1
SENEGAL,UnKnown,1
SEYCHELLES,Other Water Sports,4
SEYCHELLES,Fishing&Hunting,1
SINGAPORE,Bathing,1
SINGAPORE,Other Water Sports,1
SOLOMON ISLANDS,Fishing&Hunting,4
SOLOMON ISLANDS,UnKnown,3
SOLOMON ISLANDS,Accidents or natural disasters,2
SOLOMON ISLANDS,Other Water Sports,2
SOLOMON ISLANDS,Swimming,2
SOLOMON ISLANDS,Bathing,1
SOMALIA,Swimming,2
SOMALIA,UnKnown,2
SOMALIA,Fishing&Hunting,1
SOMALIA,Random activities,1
SOUTH AFRICA,Surfing,127
SOUTH AFRICA,Fishing&Hunting,113
SOUTH AFRICA,Other Water Sports,62
SOUTH AFRICA,Swimming,62
SOUTH AFRICA,Bathing,31
SOUTH AFRICA,UnKnown,30
SOUTH AFRICA,Accidents or natural disasters,9
SOUTH AFRICA,Shark related activities,9
SOUTH AFRICA,Random activities,3
SOUTH AFRICA,Stranger things,3
SOUTH AFRICA,Boating,1
SOUTH ATLANTIC OCEAN,Accidents or natural disasters,1
SOUTH CHINA SEA,Other Water Sports,1
SOUTH KOREA,Other Water Sports,6
SOUTH KOREA,Swimming,2
SOUTH PACIFIC OCEAN,Bathing,1
SPAIN,Swimming,9
SPAIN,Other Water Sports,3
SPAIN,Bathing,2
SPAIN,Fishing&Hunting,2
SPAIN,Accidents or natural disasters,1
SPAIN,Surfing,1
SRI LANKA,Fishing&Hunting,3
SRI LANKA,Accidents or natural disasters,1
SRI LANKA,Other Water Sports,1
ST. MARTIN,Bathing,1
ST. MARTIN,Other Water Sports,1
SUDAN,Fishing&Hunting,2
SUDAN,Accidents or natural disasters,1
Seychelles,Fishing&Hunting,1
Sierra Leone,Fishing&Hunting,1
TAIWAN,Fishing&Hunting,3
TAIWAN,Swimming,3
TAIWAN,Other Water Sports,2
TAIWAN,Accidents or natural disasters,1
TANZANIA,Swimming,5
TANZANIA,Accidents or natural disasters,1
TANZANIA,Fishing&Hunting,1
THAILAND,UnKnown,2
THAILAND,Accidents or natural disasters,1
THAILAND,Bathing,1
THAILAND,Fishing&Hunting,1
THAILAND,Other Water Sports,1
THE BALKANS,Swimming,1
TONGA,Fishing&Hunting,5
TONGA,Swimming,5
TONGA,Accidents or natural disasters,4
TONGA,Other Water Sports,1
TRINIDAD & TOBAGO,Fishing&Hunting,1
TRINIDAD & TOBAGO,Swimming,1
TUNISIA,Fishing&Hunting,1
TUNISIA,Surfing,1
TURKEY,Fishing&Hunting,2
TURKEY,UnKnown,2
TURKEY,Swimming,1
TURKS & CAICOS,Fishing&Hunting,2
TURKS & CAICOS,Other Water Sports,2
TURKS & CAICOS,Accidents or natural disasters,1
UNITED ARAB EMIRATES,Fishing&Hunting,2
UNITED ARAB EMIRATES,Surfing,1
UNITED KINGDOM,Fishing&Hunting,4
UNITED KINGDOM,Other Water Sports,3
UNITED KINGDOM,Accidents or natural disasters,2
URUGUAY,Surfing,1
USA,Surfing,674
USA,Other Water Sports,276
USA,Swimming,250
USA,Bathing,200
USA,Fishing&Hunting,170
USA,UnKnown,91
USA,Accidents or natural disasters,51
USA,Shark related activities,17
USA,Random activities,13
USA,Walking,13
USA,Boating,11
USA,Stranger things,5
VANUATU,Swimming,5
VANUATU,UnKnown,3
VANUATU,Other Water Sports,2
VANUATU,Bathing,1
VENEZUELA,Surfing,3
VENEZUELA,UnKnown,2
VENEZUELA,Accidents or natural disasters,1
VENEZUELA,Fishing&Hunting,1
VENEZUELA,Swimming,1
VIETNAM,Swimming,4
VIETNAM,UnKnown,3
VIETNAM,Bathing,1
VIETNAM,Fishing&Hunting,1
VIETNAM,Random activities,1
WESTERN SAMOA,Swimming,1
YEMEN,Swimming,1
YEMEN,UnKnown,1
