Month,Country,Activity,Sharks_attacks
Sep,USA,Surfing,112
Oct,USA,Surfing,101
Aug,USA,Surfing,81
Apr,USA,Surfing,65
Jul,USA,Surfing,65
Nov,USA,Surfing,57
Jun,USA,Swimming,49
Aug,USA,Other Water Sports,48
Jul,USA,Swimming,46
Jun,USA,Surfing,46
May,USA,Surfing,44
Aug,USA,Bathing,42
Jul,USA,Fishing&Hunting,39
Jul,USA,Bathing,39
Jul,USA,Other Water Sports,38
Aug,USA,Swimming,38
Mar,USA,Surfing,37
Sep,USA,Swimming,33
Dec,AUSTRALIA,Fishing&Hunting,33
Jan,AUSTRALIA,Fishing&Hunting,32
Oct,USA,Other Water Sports,32
Jun,USA,Other Water Sports,31
Jan,AUSTRALIA,Surfing,30
Jun,USA,Bathing,30
Sep,USA,Other Water Sports,29
Jan,USA,Surfing,28
Aug,USA,Fishing&Hunting,27
Sep,USA,Bathing,26
Mar,AUSTRALIA,Surfing,26
Feb,AUSTRALIA,Fishing&Hunting,23
Feb,AUSTRALIA,Surfing,22
Jan,AUSTRALIA,Other Water Sports,22
May,USA,Swimming,22
Jan,SOUTH AFRICA,Fishing&Hunting,22
Apr,AUSTRALIA,Fishing&Hunting,22
Oct,AUSTRALIA,Surfing,21
Sep,USA,Fishing&Hunting,21
Jul,USA,UnKnown,21
Dec,USA,Surfing,21
May,USA,Other Water Sports,20
Dec,AUSTRALIA,Surfing,19
Jul,SOUTH AFRICA,Surfing,19
Jan,SOUTH AFRICA,Surfing,19
Jun,AUSTRALIA,Surfing,17
Feb,USA,Surfing,17
Jan,SOUTH AFRICA,Swimming,17
Nov,USA,Other Water Sports,17
May,USA,Bathing,17
Apr,USA,Swimming,16
Feb,AUSTRALIA,Other Water Sports,16
Jun,USA,Fishing&Hunting,16
Dec,SOUTH AFRICA,Swimming,16
Dec,AUSTRALIA,Other Water Sports,16
Oct,AUSTRALIA,Other Water Sports,15
Jul,BAHAMAS,Fishing&Hunting,15
Mar,USA,Other Water Sports,15
Jan,AUSTRALIA,Swimming,15
Feb,AUSTRALIA,Swimming,15
Jan,PAPUA NEW GUINEA,Fishing&Hunting,15
Jan,USA,Fishing&Hunting,15
Sep,AUSTRALIA,Surfing,14
Nov,AUSTRALIA,Surfing,14
Jul,AUSTRALIA,Surfing,14
Dec,AUSTRALIA,UnKnown,14
Apr,USA,Fishing&Hunting,13
Dec,USA,Other Water Sports,13
Mar,AUSTRALIA,Fishing&Hunting,13
Feb,SOUTH AFRICA,Surfing,13
Apr,USA,UnKnown,13
Apr,AUSTRALIA,Surfing,13
Oct,USA,Swimming,13
Nov,AUSTRALIA,Fishing&Hunting,12
Feb,SOUTH AFRICA,Fishing&Hunting,12
Oct,USA,Bathing,12
Mar,USA,Bathing,12
Jan,USA,Other Water Sports,12
Nov,AUSTRALIA,Swimming,12
Nov,AUSTRALIA,UnKnown,11
Sep,AUSTRALIA,Other Water Sports,11
Dec,SOUTH AFRICA,Surfing,11
Mar,AUSTRALIA,Other Water Sports,11
Apr,USA,Bathing,11
Feb,USA,Other Water Sports,11
Jul,USA,Accidents or natural disasters,11
Apr,AUSTRALIA,Other Water Sports,10
Dec,SOUTH AFRICA,Fishing&Hunting,10
Dec,AUSTRALIA,Swimming,10
Apr,SOUTH AFRICA,Fishing&Hunting,10
Jan,SOUTH AFRICA,Bathing,10
May,USA,Fishing&Hunting,10
Mar,SOUTH AFRICA,Surfing,10
Mar,SOUTH AFRICA,Fishing&Hunting,10
Jun,SOUTH AFRICA,Surfing,10
Apr,USA,Other Water Sports,10
May,SOUTH AFRICA,Surfing,10
May,SOUTH AFRICA,Fishing&Hunting,10
Aug,AUSTRALIA,Surfing,10
Jul,BRAZIL,Surfing,9
Dec,SOUTH AFRICA,Other Water Sports,9
Nov,USA,Swimming,9
Jan,MOZAMBIQUE,Swimming,9
Sep,USA,UnKnown,9
Aug,USA,UnKnown,9
Nov,AUSTRALIA,Other Water Sports,9
Jun,BAHAMAS,Fishing&Hunting,9
Jul,BAHAMAS,Other Water Sports,9
Jun,SOUTH AFRICA,Other Water Sports,8
Aug,SOUTH AFRICA,Fishing&Hunting,8
Jan,NEW ZEALAND,Fishing&Hunting,8
Dec,SOUTH AFRICA,Bathing,8
Aug,AUSTRALIA,Fishing&Hunting,8
Aug,BAHAMAS,Fishing&Hunting,8
Oct,SOUTH AFRICA,Fishing&Hunting,8
Oct,SOUTH AFRICA,Surfing,8
Jan,SOUTH AFRICA,Other Water Sports,8
Oct,AUSTRALIA,Fishing&Hunting,8
May,USA,UnKnown,8
Jun,AUSTRALIA,Other Water Sports,8
Aug,SOUTH AFRICA,Surfing,8
Nov,SOUTH AFRICA,Fishing&Hunting,8
Sep,USA,Accidents or natural disasters,7
Jul,REUNION,Surfing,7
Nov,USA,Fishing&Hunting,7
Apr,AUSTRALIA,UnKnown,7
Aug,PAPUA NEW GUINEA,Fishing&Hunting,7
Oct,USA,Fishing&Hunting,7
Apr,SOUTH AFRICA,Surfing,7
Dec,USA,Swimming,7
Jan,IRAN,UnKnown,7
Nov,SOUTH AFRICA,Surfing,7
Feb,USA,Fishing&Hunting,7
Aug,AUSTRALIA,Other Water Sports,7
Sep,AUSTRALIA,Fishing&Hunting,7
Feb,SOUTH AFRICA,Swimming,7
Apr,AUSTRALIA,Swimming,7
May,SOUTH AFRICA,Other Water Sports,7
Jun,USA,UnKnown,7
Jan,SOUTH AFRICA,UnKnown,7
Jan,PAPUA NEW GUINEA,UnKnown,7
Sep,SOUTH AFRICA,Fishing&Hunting,7
May,AUSTRALIA,Surfing,7
May,AUSTRALIA,Other Water Sports,7
Jun,HONG KONG,Swimming,6
Jan,AUSTRALIA,Bathing,6
Jan,USA,Swimming,6
Oct,USA,UnKnown,6
Mar,AUSTRALIA,Swimming,6
Jan,AUSTRALIA,UnKnown,6
Jul,AUSTRALIA,Fishing&Hunting,6
Feb,AUSTRALIA,UnKnown,6
Jul,AUSTRALIA,Other Water Sports,6
Oct,SOUTH AFRICA,Other Water Sports,6
Mar,USA,Swimming,6
Mar,SOUTH AFRICA,UnKnown,6
May,AUSTRALIA,Fishing&Hunting,6
Jun,USA,Accidents or natural disasters,6
Aug,HONG KONG,Swimming,6
Nov,AUSTRALIA,Accidents or natural disasters,6
Dec,AUSTRALIA,Bathing,6
Apr,SOUTH AFRICA,Other Water Sports,6
Dec,USA,UnKnown,5
Aug,USA,Accidents or natural disasters,5
Jun,AUSTRALIA,Fishing&Hunting,5
Apr,BRAZIL,Swimming,5
Nov,PHILIPPINES,Accidents or natural disasters,5
Mar,NEW ZEALAND,Fishing&Hunting,5
Jul,SPAIN,Swimming,5
Dec,NEW ZEALAND,Surfing,5
Nov,SOUTH AFRICA,Swimming,5
Mar,AUSTRALIA,UnKnown,5
Dec,SOUTH AFRICA,UnKnown,5
Dec,BRAZIL,Surfing,5
Oct,BRAZIL,Surfing,5
Oct,PAPUA NEW GUINEA,Fishing&Hunting,5
Jul,SOUTH AFRICA,Fishing&Hunting,5
Jan,NEW ZEALAND,Other Water Sports,5
Feb,USA,Swimming,5
Nov,PAPUA NEW GUINEA,Fishing&Hunting,5
Jan,CUBA,Fishing&Hunting,5
Sep,SOUTH AFRICA,Surfing,5
Mar,SOUTH AFRICA,Swimming,5
Mar,NEW CALEDONIA,Fishing&Hunting,5
Mar,BRAZIL,Swimming,5
May,AUSTRALIA,UnKnown,5
May,SOUTH KOREA,Other Water Sports,5
Aug,JAPAN,UnKnown,5
Mar,USA,Fishing&Hunting,4
Mar,USA,UnKnown,4
Jun,USA,Stranger things,4
Aug,BAHAMAS,Other Water Sports,4
Apr,PAPUA NEW GUINEA,Fishing&Hunting,4
Nov,AUSTRALIA,Bathing,4
Jan,SOUTH AFRICA,Accidents or natural disasters,4
Jan,USA,Bathing,4
Dec,MOZAMBIQUE,Swimming,4
Dec,MOZAMBIQUE,Fishing&Hunting,4
May,FIJI,Fishing&Hunting,4
Sep,PAPUA NEW GUINEA,Fishing&Hunting,4
Nov,EGYPT,Other Water Sports,4
Jul,MEXICO,Bathing,4
Dec,USA,Fishing&Hunting,4
Feb,USA,Bathing,4
Nov,SOUTH AFRICA,Bathing,4
Feb,NEW ZEALAND,Other Water Sports,4
Feb,USA,UnKnown,4
Feb,NEW CALEDONIA,Fishing&Hunting,4
Mar,REUNION,Surfing,4
Nov,USA,Accidents or natural disasters,4
Feb,FIJI,Fishing&Hunting,4
Jan,BAHAMAS,Other Water Sports,4
Oct,AUSTRALIA,Swimming,4
Oct,BAHAMAS,Other Water Sports,4
Feb,AUSTRALIA,Bathing,4
Jul,PACIFIC OCEAN,Accidents or natural disasters,4
Apr,SOUTH AFRICA,Swimming,4
