,Country,Sharks_attacks
133,USA,1771
8,AUSTRALIA,731
110,SOUTH AFRICA,450
93,PAPUA NEW GUINEA,110
14,BRAZIL,95
10,BAHAMAS,83
80,NEW ZEALAND,78
69,MEXICO,59
100,REUNION,53
78,NEW CALEDONIA,44
36,FIJI,42
54,ITALY,41
73,MOZAMBIQUE,38
95,PHILIPPINES,31
56,JAPAN,27
31,EGYPT,26
47,HONG KONG,23
38,FRENCH POLYNESIA,18
115,SPAIN,18
125,TONGA,15
108,SOLOMON ISLANDS,14
92,PANAMA,13
26,CROATIA,13
27,CUBA,13
134,VANUATU,11
13,BERMUDA,11
65,MARSHALL ISLANDS,10
51,IRAN,10
41,GREECE,10
136,VIETNAM,10
131,UNITED KINGDOM,9
24,COLUMBIA,9
121,TAIWAN,9
50,INDONESIA,9
55,JAMAICA,9
105,SENEGAL,9
113,SOUTH KOREA,8
89,PACIFIC OCEAN,8
34,ENGLAND,8
30,ECUADOR,8
135,VENEZUELA,8
122,TANZANIA,7
7,ATLANTIC OCEAN,7
22,CHILE,7
25,COSTA RICA,7
29,DOMINICAN REPUBLIC,7
109,SOMALIA,6
67,MAURITIUS,6
77,NEW BRITAIN,6
123,THAILAND,6
58,KENYA,6
116,SRI LANKA,5
48,INDIA,5
128,TURKEY,5
61,MADAGASCAR,5
90,PALAU,5
20,CARIBBEAN SEA,5
129,TURKS & CAICOS,5
106,SEYCHELLES,5
71,MID ATLANTIC OCEAN,4
37,FRANCE,4
79,NEW GUINEA,4
83,NORTH ATLANTIC OCEAN,4
84,NORTH PACIFIC OCEAN,4
101,RUSSIA,4
62,MALAYSIA,4
43,GUAM,4
104,SCOTLAND,4
42,GRENADA,4
88,OKINAWA,4
52,IRAQ,4
118,SUDAN,3
64,MALTA,3
1,AMERICAN SAMOA,3
70,MICRONESIA,3
18,CANADA,3
33,EL SALVADOR,3
53,ISRAEL,3
130,UNITED ARAB EMIRATES,3
9,AZORES,3
117,ST. MARTIN,2
102,SAMOA,2
126,TRINIDAD & TOBAGO,2
107,SINGAPORE,2
96,PORTUGAL,2
127,TUNISIA,2
94,PERSIAN GULF,2
138,YEMEN,2
23,CHINA,2
57,JOHNSTON ISLAND,2
21,CAYMAN ISLANDS,2
12,BELIZE,2
60,LIBERIA,2
72,MONTENEGRO,2
87,NORWAY,1
19,CAPE VERDE,1
35,FEDERATED STATES OF MICRONESIA,1
32,EGYPT / ISRAEL,1
119,Seychelles,1
120,Sierra Leone,1
28,DIEGO GARCIA,1
124,THE BALKANS,1
16,BRITISH VIRGIN ISLANDS,1
17,BRITISH WEST INDIES,1
40,GRAND CAYMAN,1
15,BRITISH ISLES,1
11,BANGLADESH,1
6,ARUBA,1
132,URUGUAY,1
5,ARGENTINA,1
4,ANTIGUA,1
3,ANGOLA,1
2,ANDAMAN / NICOBAR ISLANDAS,1
137,WESTERN SAMOA,1
39,GABON,1
44,GUATEMALA,1
114,SOUTH PACIFIC OCEAN,1
99,RED SEA / INDIAN OCEAN,1
85,NORTH SEA,1
91,PALESTINIAN TERRITORIES,1
82,NIGERIA,1
81,NICARAGUA,1
76,NEVIS,1
75,NETHERLANDS ANTILLES,1
74,NAMIBIA,1
97,PUERTO RICO,1
98,RED SEA,1
68,MAYOTTE,1
86,NORTHERN ARABIAN SEA,1
66,MARTINIQUE,1
103,SAUDI ARABIA,1
63,MALDIVE ISLANDS,1
59,KIRIBATI,1
49,INDIAN OCEAN,1
46,HONDURAS,1
45,GULF OF ADEN,1
111,SOUTH ATLANTIC OCEAN,1
112,SOUTH CHINA SEA,1
0,ADMIRALTY ISLANDS,1
